ip,method,endpoint,status,endpoint_length,param_count,has_query,attack
175.45.191.10,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,401,19,0,0,0
175.45.191.15,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,200,19,0,0,0
175.45.191.10,GET,/api/v1/books?search=&page=1&size=9,200,35,2,1,0
175.45.191.10,GET,/api/v1/checkouts/user,200,22,0,0,0
175.45.191.10,GET,/api/v1/payments/user,200,21,0,0,0
175.45.191.10,GET,/api/v1/carts/user,200,18,0,0,0
175.45.191.10,GET,/api/v1/books?search=&page=1&size=9,200,35,2,1,0
175.45.191.10,GET,/api/v1/users/me,200,16,0,0,0
175.45.191.10,GET,/api/v1/books/8e50d42f-674e-42c3-b990-7ec90865e8b9,200,50,0,0,0
175.45.191.10,GET,/api/v1/comments/book/8e50d42f-674e-42c3-b990-7ec90865e8b9,200,58,0,0,0
175.45.191.10,GET,/api/v1/users/me,200,16,0,0,0
175.45.191.10,GET,/api/v1/payments/book/8e50d42f-674e-42c3-b990-7ec90865e8b9,200,58,0,0,0
175.45.191.15,OPTIONS,/api/v1/auths/logout,204,20,0,0,0
175.45.191.10,POST,/api/v1/auths/logout,200,20,0,0,0
175.45.191.10,GET,/,200,1,0,0,0
175.45.191.10,GET,/@vite/client,200,13,0,0,0
175.45.191.10,GET,/src/main.tsx,200,13,0,0,0
175.45.191.10,GET,/@react-refresh,200,15,0,0,0
175.45.191.10,GET,/src/App.tsx,200,12,0,0,0
175.45.191.10,GET,/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=8ec0af90,200,60,0,1,0
175.45.191.10,GET,/src/index.css,200,14,0,0,0
175.45.191.10,GET,/node_modules/vite/dist/client/env.mjs,200,38,0,0,0
175.45.191.10,GET,/node_modules/.vite/deps/react-dom_client.js?v=49300425,200,55,0,1,0
175.45.191.10,GET,/src/pages/admin/index.tsx,200,26,0,0,0
175.45.191.10,GET,/src/pages/admin/books/create/index.tsx,200,39,0,0,0
175.45.191.10,GET,/src/pages/admin/books/edit/$id.tsx,200,35,0,0,0
175.45.191.10,GET,/src/pages/admin/books/index.tsx,200,32,0,0,0
175.45.191.10,GET,/src/pages/error.tsx,200,20,0,0,0
175.45.191.10,GET,/src/pages/books/bookPlaceholder.tsx,200,36,0,0,0
175.45.191.10,GET,/src/pages/admin/users/index.tsx,200,32,0,0,0
175.45.191.10,GET,/src/pages/book/comments.tsx,200,28,0,0,0
175.45.191.10,GET,/src/pages/checkouts/index.tsx,200,30,0,0,0
175.45.191.10,GET,/src/pages/book/$id.tsx,200,23,0,0,0
175.45.191.10,GET,/src/pages/index.tsx,200,20,0,0,0
175.45.191.10,GET,/src/pages/profile/$id.tsx,200,26,0,0,0
175.45.191.10,GET,/src/pages/register/index.tsx,200,29,0,0,0
175.45.191.10,GET,/src/pages/books/index.tsx,200,26,0,0,0
175.45.191.10,GET,/src/pages/profile/index.tsx,200,28,0,0,0
175.45.191.10,GET,/src/pages/carts/index.tsx,200,26,0,0,0
175.45.191.10,GET,/src/pages/login/index.tsx,200,26,0,0,0
175.45.191.10,GET,/src/pages/verify-otp/index.tsx,200,31,0,0,0
175.45.191.10,GET,/node_modules/.vite/deps/react-router-dom.js?v=f54f7c44,200,55,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-DC5AMYBS.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-RUPNRBO7.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/sonner.js?v=9e77c9df,200,45,0,1,0
175.45.191.10,GET,/src/components/ui/card.tsx,200,27,0,0,0
175.45.191.10,GET,/src/navbar.tsx,200,15,0,0,0
175.45.191.10,GET,/src/components/ui/input.tsx,200,28,0,0,0
175.45.191.10,GET,/src/props/requiredRole.tsx,200,27,0,0,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-OX56QJAV.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/src/hooks/useAuthFetch.ts,200,26,0,0,0
175.45.191.10,GET,/src/components/ui/button.tsx,200,29,0,0,0
175.45.191.10,GET,/src/props/truncater.tsx,200,24,0,0,0
175.45.191.10,GET,/src/components/ui/select.tsx,200,29,0,0,0
175.45.191.10,GET,/node_modules/.vite/deps/react.js?v=8ec0af90,200,44,0,1,0
175.45.191.10,GET,/src/components/ui/dialog.tsx,200,29,0,0,0
175.45.191.10,GET,/src/components/ui/textarea.tsx,200,31,0,0,0
175.45.191.9,GET,/?token=Kp5rLtCf5Hrs,200,20,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/@radix-ui_react-avatar.js?v=9b25fbc6,200,61,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/axios.js?v=a16a18a0,200,44,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/lucide-react.js?v=e0412f45,200,51,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/input-otp.js?v=65b1f1a5,200,48,0,1,0
175.45.191.10,GET,/src/components/ui/input-otp.tsx,200,32,0,0,0
175.45.191.10,GET,/src/components/ui/navigation-menu.tsx,200,38,0,0,0
175.45.191.10,GET,/src/lib/utils.ts,200,17,0,0,0
175.45.191.10,GET,/node_modules/.vite/deps/class-variance-authority.js?v=d27f87e3,200,63,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/@radix-ui_react-slot.js?v=080505c3,200,59,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/@radix-ui_react-select.js?v=d9c87407,200,61,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-5AS4NL4J.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-NQFKLIXP.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-GAULL5HR.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/@radix-ui_react-navigation-menu.js?v=4bbcb2ca,200,70,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-7QOHMDSO.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/tailwind-merge.js?v=f87e57f4,200,53,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-QSHKLHNU.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-LXSACXOY.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/node_modules/.vite/deps/chunk-U7P2NEEE.js?v=71990c3e,200,53,0,1,0
175.45.191.10,GET,/favicon.ico,404,12,0,0,0
175.45.191.9,GET,/login,200,6,0,0,0
175.45.191.9,GET,/@vite/client,200,13,0,0,0
175.45.191.9,GET,/@react-refresh,200,15,0,0,0
175.45.191.9,GET,/src/main.tsx,200,13,0,0,0
175.45.191.9,GET,/node_modules/vite/dist/client/env.mjs,200,38,0,0,0
175.45.191.9,GET,/src/App.tsx,200,12,0,0,0
175.45.191.9,GET,/src/index.css,304,14,0,0,0
175.45.191.9,GET,/src/pages/admin/books/create/index.tsx,200,39,0,0,0
175.45.191.9,GET,/src/pages/book/comments.tsx,200,28,0,0,0
175.45.191.9,GET,/src/pages/admin/users/index.tsx,200,32,0,0,0
175.45.191.9,GET,/src/pages/books/index.tsx,200,26,0,0,0
175.45.191.9,GET,/src/pages/book/$id.tsx,200,23,0,0,0
175.45.191.9,GET,/src/pages/admin/index.tsx,200,26,0,0,0
175.45.191.9,GET,/src/pages/register/index.tsx,200,29,0,0,0
175.45.191.9,GET,/src/pages/admin/books/index.tsx,200,32,0,0,0
175.45.191.9,GET,/src/pages/error.tsx,200,20,0,0,0
175.45.191.9,GET,/src/pages/books/bookPlaceholder.tsx,200,36,0,0,0
175.45.191.9,GET,/src/pages/checkouts/index.tsx,200,30,0,0,0
175.45.191.9,GET,/src/pages/login/index.tsx,200,26,0,0,0
175.45.191.9,GET,/src/pages/profile/index.tsx,200,28,0,0,0
175.45.191.9,GET,/src/pages/admin/books/edit/$id.tsx,200,35,0,0,0
175.45.191.9,GET,/src/pages/verify-otp/index.tsx,200,31,0,0,0
175.45.191.9,GET,/src/pages/profile/$id.tsx,200,26,0,0,0
175.45.191.9,GET,/src/pages/index.tsx,200,20,0,0,0
175.45.191.9,GET,/src/pages/carts/index.tsx,200,26,0,0,0
175.45.191.9,GET,/?token=Kp5rLtCf5Hrs,200,20,0,1,0
175.45.191.9,GET,/src/props/requiredRole.tsx,200,27,0,0,0
175.45.191.9,GET,/src/components/ui/card.tsx,200,27,0,0,0
175.45.191.9,GET,/src/components/ui/textarea.tsx,200,31,0,0,0
175.45.191.9,GET,/src/components/ui/dialog.tsx,200,29,0,0,0
175.45.191.9,GET,/src/components/ui/button.tsx,200,29,0,0,0
175.45.191.9,GET,/src/hooks/useAuthFetch.ts,200,26,0,0,0
175.45.191.9,GET,/src/components/ui/select.tsx,200,29,0,0,0
175.45.191.9,GET,/src/navbar.tsx,200,15,0,0,0
175.45.191.9,GET,/src/components/ui/input.tsx,200,28,0,0,0
175.45.191.9,GET,/src/props/truncater.tsx,200,24,0,0,0
175.45.191.9,GET,/src/components/ui/input-otp.tsx,200,32,0,0,0
175.45.191.9,GET,/src/lib/utils.ts,200,17,0,0,0
175.45.191.9,GET,/src/components/ui/navigation-menu.tsx,200,38,0,0,0
175.45.191.13,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.9,POST,/api/v1/auths/login,401,19,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,401,19,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,403,19,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/send-otp,204,22,0,0,0
175.45.191.10,POST,/api/v1/auths/send-otp,201,22,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,401,19,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,401,19,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,403,19,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,401,19,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,403,19,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/send-otp,204,22,0,0,0
175.45.191.10,POST,/api/v1/auths/send-otp,201,22,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/verify-otp,204,24,0,0,0
175.45.191.10,POST,/api/v1/auths/verify-otp,200,24,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.10,POST,/api/v1/auths/login,403,19,0,0,0
175.45.191.11,OPTIONS,/api/v1/auths/login,204,19,0,0,0
175.45.191.12,POST,/api/v1/auths/login,403,19,0,0,0
175.45.191.12,GET,/login,200,6,0,0,0
175.45.191.12,GET,/@react-refresh,304,15,0,0,0
175.45.191.12,GET,/@vite/client,304,13,0,0,0
175.45.191.12,GET,/src/main.tsx,304,13,0,0,0
175.45.191.12,GET,/src/App.tsx,304,12,0,0,0
175.45.191.12,GET,/node_modules/vite/dist/client/env.mjs,304,38,0,0,0
